Postcode,SA4,Relevance
2785,Sydney - Outer West and Blue Mountains,0.9997689
2786,Central West,0.0881609
2786,Sydney - Baulkham Hills and Hawkesbury,0.1391521
2786,Sydney - Outer West and Blue Mountains,0.7726869
2787,Capital Region,0.000469
2787,Central West,0.9875457
2787,Sydney - Outer West and Blue Mountains,0.0119853
2790,Central West,0.9998567
2790,Sydney - Outer West and Blue Mountains,0.0001433
2791,Central West,1.0
2792,Central West,1.0
2793,Central West,1.0
2794,Capital Region,0.0055272
2794,Central West,0.9944728
2795,Central West,1.0
2797,Central West,1.0
2798,Central West,1.0
2799,Central West,1.0
2800,Central West,1.0
2803,Capital Region,1.0
2804,Central West,1.0
2805,Central West,1.0
2806,Central West,1.0
2807,Capital Region,0.7119937
2807,Central West,0.2880063
2808,Capital Region,0.2208211
2808,Central West,0.7791789
2809,Central West,1.0
2810,Central West,1.0
2820,Far West and Orana,1.0
2821,Far West and Orana,1.0
2823,Central West,0.0021291
2823,Far West and Orana,0.9978709
2824,Far West and Orana,1.0
2825,Central West,0.0042114
2825,Far West and Orana,0.9957886
2827,Far West and Orana,1.0
2828,Far West and Orana,1.0
2829,Far West and Orana,1.0
2830,Far West and Orana,1.0
2831,Far West and Orana,1.0
2832,Far West and Orana,1.0
2833,Far West and Orana,0.947009
2833,New England and North West,0.052991
2834,Far West and Orana,1.0
2835,Far West and Orana,1.0
2836,Far West and Orana,1.0
2839,Far West and Orana,1.0
2840,Far West and Orana,1.0
2842,Far West and Orana,1.0
2843,Far West and Orana,1.0
2844,Central West,1.0
2845,Central West,1.0
2846,Central West,1.0
2847,Central West,1.0
2848,Central West,1.0
2849,Central West,1.0
2850,Central West,0.9986507
2850,Far West and Orana,0.0006853
2850,Hunter Valley exc Newcastle,0.000664
2852,Central West,0.9965597
2852,Far West and Orana,0.0034403
2864,Central West,1.0
2865,Central West,1.0
2866,Central West,0.9232072
2866,Far West and Orana,0.0767928
2867,Central West,0.8947584
2867,Far West and Orana,0.1052416
2868,Central West,0.0396506
2868,Far West and Orana,0.9603494
2869,Central West,0.7786982
2869,Far West and Orana,0.2213018
2870,Central West,1.0
2871,Central West,1.0
2873,Central West,1.0
2874,Central West,1.0
2875,Central West,1.0
2876,Central West,1.0
2877,Central West,0.9327559
2877,Far West and Orana,0.0672441
2878,Far West and Orana,0.8502832
2878,Murray,0.1497168
2879,Far West and Orana,1.0
2880,Far West and Orana,1.0
2898,Mid North Coast,1.0
2900,Capital Region,0.0026987
2900,Australian Capital Territory,0.9973013
2902,Australian Capital Territory,1.0
2903,Australian Capital Territory,1.0
2904,Australian Capital Territory,1.0
2905,Australian Capital Territory,1.0
2906,Australian Capital Territory,1.0
2911,Australian Capital Territory,1.0
2912,Australian Capital Territory,1.0
2913,Australian Capital Territory,1.0
2914,Australian Capital Territory,1.0
3000,Melbourne - Inner,1.0
3002,Melbourne - Inner,1.0
3003,Melbourne - Inner,1.0
3004,Melbourne - Inner,1.0
3005,Melbourne - Inner,1.0
3006,Melbourne - Inner,1.0
3008,Melbourne - Inner,1.0
3010,Melbourne - Inner,1.0
3011,Melbourne - West,1.0
3012,Melbourne - West,1.0
3013,Melbourne - West,1.0
3015,Melbourne - West,1.0
3016,Melbourne - West,1.0
3018,Melbourne - West,1.0
3019,Melbourne - West,1.0
3020,Melbourne - West,1.0
3021,Melbourne - West,1.0
3022,Melbourne - West,1.0
3023,Melbourne - West,1.0
3024,Melbourne - West,1.0
3025,Melbourne - West,1.0
3026,Melbourne - West,1.0
3027,Melbourne - West,1.0
3028,Melbourne - West,1.0
3029,Melbourne - West,1.0
3030,Melbourne - West,1.0
3031,Melbourne - Inner,1.0
3032,Melbourne - Inner,0.5990001
3032,Melbourne - West,0.4009999
3033,Melbourne - North West,1.0
3034,Melbourne - North West,1.0
3036,Melbourne - North West,0.9763725
3036,Melbourne - West,0.0236275
3037,Melbourne - West,1.0
3038,Melbourne - West,0.9999366
3039,Melbourne - Inner,1.0
3040,Melbourne - Inner,0.9414697
3040,Melbourne - North West,0.0585303
3041,Melbourne - Inner,0.2021062
3041,Melbourne - North West,0.7978938
3042,Melbourne - North West,1.0
3043,Melbourne - North West,1.0
3044,Melbourne - Inner,0.3904777
3044,Melbourne - North West,0.6095223
3045,Melbourne - North West,1.0
3046,Melbourne - North West,1.0
3047,Melbourne - North West,1.0
3048,Melbourne - North West,1.0
3049,Melbourne - North West,1.0
3050,Melbourne - Inner,1.0
3051,Melbourne - Inner,1.0
3052,Melbourne - Inner,1.0
3053,Melbourne - Inner,1.0
3054,Melbourne - Inner,1.0
3055,Melbourne - Inner,1.0
3056,Melbourne - Inner,1.0
3057,Melbourne - Inner,1.0
3058,Melbourne - Inner,0.7869082
3058,Melbourne - North East,0.0082156
3058,Melbourne - North West,0.2048762
3059,Melbourne - North West,1.0
3060,Melbourne - North West,1.0
3061,Melbourne - North West,1.0
3062,Melbourne - North West,1.0
3063,Melbourne - North West,1.0
3064,Melbourne - North East,0.0028181
3064,Melbourne - North West,0.9971819
3065,Melbourne - Inner,1.0
3066,Melbourne - Inner,1.0
3067,Melbourne - Inner,1.0
3068,Melbourne - Inner,1.0
3070,Melbourne - Inner,1.0
3071,Melbourne - Inner,1.0
3072,Melbourne - North East,1.0
3073,Melbourne - North East,1.0
3074,Melbourne - North East,1.0
3075,Melbourne - North East,1.0
3076,Melbourne - North East,1.0
3078,Melbourne - Inner,1.0
3079,Melbourne - North East,1.0
3081,Melbourne - North East,1.0
3082,Melbourne - North East,1.0
3083,Melbourne - North East,1.0
3084,Melbourne - North East,1.0
3085,Melbourne - North East,1.0
3086,Melbourne - North East,1.0
3087,Melbourne - North East,1.0
3088,Melbourne - North East,1.0
3089,Melbourne - North East,1.0
3090,Melbourne - North East,1.0
3091,Melbourne - North East,1.0
3093,Melbourne - North East,1.0
3094,Melbourne - North East,1.0
3095,Melbourne - North East,1.0
3096,Melbourne - North East,1.0
3097,Melbourne - North East,1.0
3099,Melbourne - North East,1.0
3101,Melbourne - Inner,0.0006677
3101,Melbourne - Inner East,0.9993323
3102,Melbourne - Inner East,1.0
3103,Melbourne - Inner East,1.0
3104,Melbourne - Inner East,1.0
3105,Melbourne - Inner East,1.0
3106,Melbourne - Inner East,1.0
3107,Melbourne - Inner East,1.0
3108,Melbourne - Inner East,1.0
3109,Melbourne - Inner East,0.9989643
3109,Melbourne - Outer East,0.0010357
3111,Melbourne - Inner East,0.0191073
3111,Melbourne - Outer East,0.9808927
3113,Melbourne - North East,0.3484514
3113,Melbourne - Outer East,0.6515486
3114,Melbourne - Outer East,1.0
3115,Melbourne - Outer East,1.0
3116,Melbourne - Outer East,1.0
3121,Melbourne - Inner,1.0
3122,Melbourne - Inner East,1.0
3123,Melbourne - Inner East,1.0
3124,Melbourne - Inner East,1.0
3125,Melbourne - Inner East,0.8170129
3125,Melbourne - South East,0.1829871
3126,Melbourne - Inner East,1.0
3127,Melbourne - Inner East,1.0
3128,Melbourne - Inner East,1.0
3129,Melbourne - Inner East,1.0
3130,Melbourne - Inner East,1.0
3131,Melbourne - Outer East,1.0
3132,Melbourne - Outer East,1.0
3133,Melbourne - Outer East,1.0
3134,Melbourne - Outer East,1.0
3135,Melbourne - Outer East,1.0
3136,Melbourne - Outer East,1.0
3137,Melbourne - Outer East,1.0
3138,Melbourne - Outer East,1.0
3139,Melbourne - Outer East,0.9998638
3139,Melbourne - South East,0.0001362
3140,Melbourne - Outer East,1.0
3141,Melbourne - Inner,1.0
3142,Melbourne - Inner,0.9986932
3142,Melbourne - Inner East,0.0013068
3143,Melbourne - Inner,1.0
3144,Melbourne - Inner,0.022822
3144,Melbourne - Inner South,0.977178
3145,Melbourne - Inner East,0.0006565
3145,Melbourne - Inner South,0.9993435
3146,Melbourne - Inner East,0.6350176
3146,Melbourne - Inner South,0.3649824
3147,Melbourne - Inner East,0.5612872
3147,Melbourne - South East,0.4387128
3148,Melbourne - South East,1.0
3149,Melbourne - South East,1.0
3150,Melbourne - South East,0.9999983
3151,Melbourne - Inner East,1.0
3152,Melbourne - Outer East,1.0
3153,Melbourne - Outer East,1.0
3154,Melbourne - Outer East,1.0
3155,Melbourne - Outer East,1.0
3156,Melbourne - Outer East,0.9745143
3156,Melbourne - South East,0.0254857
3158,Melbourne - Outer East,1.0
3159,Melbourne - Outer East,1.0
3160,Melbourne - Outer East,1.0
3161,Melbourne - Inner South,1.0
3162,Melbourne - Inner South,1.0
3163,Melbourne - Inner South,1.0
3165,Melbourne - Inner South,1.0
3166,Melbourne - Inner South,0.3155652
3166,Melbourne - South East,0.6844348
3167,Melbourne - South East,1.0
3168,Melbourne - South East,1.0
3169,Melbourne - Inner South,0.0007164
3169,Melbourne - South East,0.9992836
3170,Melbourne - South East,1.0
3171,Melbourne - South East,1.0
3172,Melbourne - South East,0.9999106
3173,Melbourne - South East,1.0
3174,Melbourne - South East,1.0
3175,Melbourne - Inner South,0.0012273
3175,Melbourne - South East,0.9987727
3177,Melbourne - South East,1.0
3178,Melbourne - Outer East,1.0
3179,Melbourne - Outer East,1.0
3180,Melbourne - Outer East,1.0
3181,Melbourne - Inner,1.0
3182,Melbourne - Inner,1.0
3183,Melbourne - Inner,0.7770161
3183,Melbourne - Inner South,0.2229839
3184,Melbourne - Inner,1.0
3185,Melbourne - Inner,0.1207959
3185,Melbourne - Inner South,0.8792041
3186,Melbourne - Inner South,1.0
3187,Melbourne - Inner South,1.0
3188,Melbourne - Inner South,1.0
3189,Melbourne - Inner South,1.0
3190,Melbourne - Inner South,1.0
3191,Melbourne - Inner South,1.0
3192,Melbourne - Inner South,1.0
3193,Melbourne - Inner South,1.0
3194,Melbourne - Inner South,1.0
3195,Melbourne - Inner South,1.0
3196,Melbourne - Inner South,1.0
3197,Melbourne - Inner South,0.9986178
3197,Mornington Peninsula,0.0013822
3198,Mornington Peninsula,1.0
3199,Mornington Peninsula,1.0
3200,Mornington Peninsula,1.0
3201,Mornington Peninsula,1.0
3202,Melbourne - Inner South,1.0
3204,Melbourne - Inner South,1.0
3205,Melbourne - Inner,1.0
3206,Melbourne - Inner,1.0
3207,Melbourne - Inner,1.0
3211,Geelong,0.390154
3211,Melbourne - West,0.609846
3212,Geelong,1.0
3214,Geelong,1.0
3215,Geelong,1.0
3216,Geelong,1.0
3217,Geelong,1.0
3218,Geelong,1.0
3219,Geelong,1.0
3220,Geelong,1.0
3221,Geelong,0.9753297
3221,Warrnambool and South West,0.0246703
3222,Geelong,1.0
3223,Geelong,1.0
3224,Geelong,1.0
3225,Geelong,1.0
3226,Geelong,1.0
3227,Geelong,1.0
3228,Geelong,1.0
3230,Geelong,1.0
3231,Geelong,1.0
3232,Geelong,1.0
3233,Warrnambool and South West,1.0
3235,Geelong,0.9801492
3235,Warrnambool and South West,0.0198508
3236,Warrnambool and South West,1.0
3237,Warrnambool and South West,1.0
3238,Warrnambool and South West,1.0
3239,Warrnambool and South West,1.0
3240,Geelong,1.0
3241,Geelong,0.9650293
3241,Warrnambool and South West,0.0349707
3242,Geelong,0.0260368
3242,Warrnambool and South West,0.9739632
3243,Warrnambool and South West,1.0
3249,Warrnambool and South West,1.0
3250,Warrnambool and South West,1.0
3251,Warrnambool and South West,1.0
3254,Warrnambool and South West,1.0
3260,Warrnambool and South West,1.0
3264,Warrnambool and South West,1.0
3265,Warrnambool and South West,1.0
3266,Warrnambool and South West,1.0
3267,Warrnambool and South West,1.0
3268,Warrnambool and South West,1.0
3269,Warrnambool and South West,1.0
3270,Warrnambool and South West,1.0
3271,North West,0.0732752
3271,Warrnambool and South West,0.9267248
3272,North West,0.0158984
3272,Warrnambool and South West,0.9841016
3273,Warrnambool and South West,1.0
3274,Warrnambool and South West,1.0
3275,Warrnambool and South West,1.0
3276,Warrnambool and South West,1.0
3277,Warrnambool and South West,1.0
3278,Warrnambool and South West,1.0
3279,Warrnambool and South West,1.0
3280,Warrnambool and South West,1.0
3281,Warrnambool and South West,1.0
3282,Warrnambool and South West,1.0
3283,Warrnambool and South West,1.0
3284,Warrnambool and South West,1.0
3285,Warrnambool and South West,1.0
3286,Warrnambool and South West,1.0
3287,Warrnambool and South West,1.0
3289,Warrnambool and South West,1.0
3292,Warrnambool and South West,1.0
3293,North West,0.1486192
3293,Warrnambool and South West,0.8513808
3294,North West,0.002733
3294,Warrnambool and South West,0.997267
3300,Warrnambool and South West,1.0
3301,Warrnambool and South West,1.0
3302,Warrnambool and South West,1.0
3303,Warrnambool and South West,1.0
3304,Warrnambool and South West,1.0
3305,Warrnambool and South West,1.0
3309,Warrnambool and South West,1.0
3310,Warrnambool and South West,1.0
3311,Warrnambool and South West,1.0
3312,North West,0.1947215
3312,Warrnambool and South West,0.8052785
3314,Warrnambool and South West,0.9999981
3315,Warrnambool and South West,1.0
3317,North West,0.8805974
3317,Warrnambool and South West,0.1194026
3318,North West,0.9969676
3318,South Australia - South East,0.0030324
3319,North West,1.0
3321,Geelong,0.9886013
3321,Warrnambool and South West,0.0113987
3322,Geelong,0.1360909
3322,Warrnambool and South West,0.8639091
3323,Warrnambool and South West,0.9999889
3324,Ballarat,0.0032718
3324,Warrnambool and South West,0.9967282
3325,Ballarat,0.0008908
3325,Warrnambool and South West,0.9991092
3328,Geelong,1.0
3329,Geelong,0.9892052
3329,Warrnambool and South West,0.0107948
3330,Geelong,1.0
3331,Geelong,1.0
3332,Geelong,1.0
3333,Ballarat,0.0038033
3333,Geelong,0.9961967
3334,Ballarat,0.9874209
3334,Geelong,0.0125791
3335,Melbourne - West,1.0
3337,Melbourne - North West,0.0005479
3337,Melbourne - West,0.9994521
3338,Melbourne - West,1.0
3340,Ballarat,0.0370975
3340,Geelong,0.0069241
3340,Melbourne - West,0.9559783
3341,Ballarat,0.88146
3341,Melbourne - West,0.11854
3342,Ballarat,0.9974929
3342,Geelong,0.0025071
3345,Ballarat,1.0
3350,Ballarat,1.0
3351,Ballarat,0.9224985
3351,Geelong,0.0057603
3351,North West,0.0714851
3351,Warrnambool and South West,0.0002561
3352,Ballarat,0.9500053
3352,Geelong,0.0490957
3352,Warrnambool and South West,0.000899
3355,Ballarat,1.0
3356,Ballarat,1.0
3357,Ballarat,1.0
3360,Ballarat,0.993623
3360,Warrnambool and South West,0.006377
3361,Ballarat,0.1855115
3361,North West,0.0068802
3361,Warrnambool and South West,0.8076083
3363,Ballarat,1.0
3364,Ballarat,0.9683073
3364,Bendigo,0.0316927
3370,Ballarat,1.0
3371,Ballarat,1.0
3373,Ballarat,0.9946895
3373,North West,0.0053105
3374,North West,1.0
3375,Ballarat,0.1288101
3375,North West,0.8711899
3377,Ballarat,0.0109528
3377,North West,0.9890472
3378,North West,1.0
3379,North West,0.9465055
3379,Warrnambool and South West,0.0534945
3380,North West,1.0
3381,North West,1.0
3384,Ballarat,0.4304355
3384,North West,0.5695645
3385,North West,1.0
3387,North West,1.0
3388,North West,1.0
3390,North West,1.0
3391,North West,1.0
3392,North West,1.0
3393,North West,1.0
3395,North West,1.0
3396,North West,1.0
3400,North West,1.0
3401,North West,0.9923685
3401,Warrnambool and South West,0.0076315
3407,Warrnambool and South West,1.0
3409,North West,1.0
3412,North West,1.0
3413,North West,1.0
3414,North West,1.0
3415,North West,1.0
3418,North West,1.0
3419,North West,1.0
3420,North West,1.0
3423,North West,1.0
3424,North West,1.0
3427,Melbourne - North West,0.9946368
3427,Melbourne - West,0.0053632
3428,Melbourne - North West,1.0
3429,Melbourne - North West,1.0
3430,Melbourne - North West,1.0
3431,Melbourne - North West,1.0
3432,Melbourne - North West,1.0
3433,Melbourne - North West,1.0
3434,Melbourne - North West,1.0
3435,Bendigo,0.0016506
3435,Hume,0.0213988
3435,Melbourne - North West,0.9769506
3437,Bendigo,0.000235
3437,Melbourne - North West,0.999765
3438,Melbourne - North West,1.0
3440,Bendigo,0.0011127
3440,Melbourne - North West,0.9988873
3441,Melbourne - North West,1.0
3442,Bendigo,0.9608937
3442,Melbourne - North West,0.0391063
3444,Ballarat,0.0130194
3444,Bendigo,0.9770482
3444,Hume,0.0099324
3446,Ballarat,0.1848039
3446,Bendigo,0.8151961
3447,Ballarat,0.0065633
3447,Bendigo,0.9934367
3448,Bendigo,1.0
3450,Bendigo,1.0
3451,Ballarat,0.0083082
3451,Bendigo,0.9916918
3453,Bendigo,1.0
3458,Ballarat,0.9430156
3458,Bendigo,0.0569844
3460,Ballarat,1.0
3461,Ballarat,0.9746071
3461,Bendigo,0.0253929
3462,Bendigo,1.0
3463,Bendigo,0.9999074
3464,Ballarat,1.0
3465,Ballarat,0.9977938
3465,North West,0.0021577
3467,Ballarat,1.0
3468,Ballarat,1.0
3469,Ballarat,1.0
3472,Ballarat,0.9731455
3472,Bendigo,0.0268545
3475,Ballarat,0.6956766
3475,Bendigo,0.1703047
3475,North West,0.1340187
3477,Ballarat,0.0996619
3477,Bendigo,0.002374
3477,North West,0.8979641
3478,Ballarat,0.093233
3478,North West,0.906767
3480,North West,1.0
3482,North West,1.0
3483,North West,1.0
3485,North West,1.0
3487,North West,1.0
3488,North West,1.0
3489,North West,1.0
3490,Murray,0.000134
3490,North West,0.999866
3491,North West,1.0
3494,Murray,0.0001405
3494,North West,0.9998595
3496,North West,1.0
3498,Murray,0.0005161
3498,North West,0.9994839
3500,North West,1.0
3501,Murray,0.0185054
3501,North West,0.9814946
3505,Murray,0.000698
3505,North West,0.999302
3506,North West,1.0
3507,North West,1.0
3509,North West,1.0
3512,North West,1.0
3515,Bendigo,1.0
3516,Bendigo,1.0
3517,Bendigo,1.0
3518,Bendigo,0.9985195
3518,North West,0.0014805
3520,Bendigo,1.0
3521,Hume,1.0
3522,Hume,1.0
3523,Bendigo,0.9667721
3523,Hume,0.0112455
3523,Shepparton,0.0219824
3525,Bendigo,0.0742245
3525,North West,0.9257755
3527,Bendigo,0.0048965
3527,North West,0.9951035
3529,North West,1.0
3530,North West,1.0
3531,North West,1.0
3533,North West,1.0
3537,Bendigo,0.999999
3540,North West,1.0
3542,North West,1.0
3544,North West,1.0
3546,North West,1.0
3549,Murray,0.003806
3549,North West,0.996194
3550,Bendigo,1.0
3551,Ballarat,0.0002891
3551,Bendigo,0.9906586
3551,Shepparton,0.0090523
3555,Bendigo,1.0
3556,Bendigo,1.0
3557,Bendigo,0.9192894
3557,Shepparton,0.0807106
3558,Bendigo,0.9490116
3558,Shepparton,0.0509884
3559,Bendigo,0.0799772
3559,Shepparton,0.9200228
3561,Shepparton,1.0
3562,Shepparton,1.0
3563,Shepparton,1.0
3564,Murray,0.0012102
3564,Shepparton,0.9987898
3565,Shepparton,1.0
3566,Shepparton,1.0
3567,Bendigo,0.0146903
3567,North West,0.9853097
3568,North West,1.0
3570,Bendigo,1.0
3571,Bendigo,1.0
3572,Bendigo,0.2967557
3572,Shepparton,0.7032443
3573,Bendigo,0.843744
3573,Shepparton,0.156256
3575,Bendigo,1.0
3576,Bendigo,1.0
3579,Murray,0.0005321
3579,Bendigo,0.0062536
3579,North West,0.9932143
3580,North West,0.9999521
3581,North West,1.0
3583,North West,1.0
3584,North West,1.0
3585,Murray,0.0234001
3585,North West,0.9765999
3586,Murray,0.0697618
3586,North West,0.9302382
3588,North West,1.0
3589,North West,1.0
3590,North West,1.0
3591,North West,1.0
3594,North West,1.0
3595,North West,1.0
3596,North West,1.0
3597,North West,1.0
3599,North West,1.0
3607,Hume,1.0
3608,Hume,0.9991645
3608,Shepparton,0.0008355
3610,Hume,0.0091643
3610,Shepparton,0.9908357
3612,Hume,0.0214434
3612,Shepparton,0.9785566
3614,Shepparton,1.0
3616,Shepparton,1.0
3617,Shepparton,1.0
3618,Shepparton,1.0
3620,Shepparton,1.0
3621,Shepparton,1.0
3622,Shepparton,1.0
3623,Shepparton,1.0
3624,Shepparton,1.0
3629,Shepparton,1.0
3630,Shepparton,1.0
3631,Hume,0.0063733
3631,Shepparton,0.9936267
3633,Shepparton,1.0
3634,Shepparton,1.0
3635,Shepparton,1.0
3636,Shepparton,1.0
3637,Shepparton,1.0
3638,Shepparton,1.0
3639,Murray,0.0193143
3639,Shepparton,0.9806857
3640,Shepparton,1.0
3641,Shepparton,1.0
3644,Murray,0.1972486
3644,Shepparton,0.8027514
3646,Hume,0.0069592
3646,Shepparton,0.9930408
3647,Shepparton,1.0
3649,Shepparton,1.0
3658,Hume,0.9137337
3658,Melbourne - North East,0.0862663
3659,Hume,1.0
3660,Hume,1.0
3662,Hume,1.0
3663,Hume,1.0
3664,Hume,1.0
3665,Hume,1.0
3666,Hume,1.0
3669,Hume,0.9674184
3669,Shepparton,0.0325816
3670,Hume,1.0
3672,Hume,1.0
3673,Hume,1.0
3675,Hume,0.974713
3675,Shepparton,0.025287
3677,Hume,1.0
3678,Hume,0.9926628
3678,Shepparton,0.0073372
3682,Hume,1.0
3683,Hume,1.0
3685,Hume,0.9989621
3685,Shepparton,0.0009879
3687,Hume,1.0
3688,Hume,1.0
3690,Hume,0.9999843
3691,Murray,0.0032229
3691,Hume,0.9967771
3694,Murray,0.0001123
3694,Hume,0.9998877
3695,Hume,1.0
3697,Hume,1.0
3698,Hume,1.0
3699,Hume,0.9999962
3700,Hume,1.0
3701,Hume,0.9952943
3701,Latrobe - Gippsland,0.0047057
3704,Hume,1.0
3705,Hume,1.0
3707,Riverina,0.0419675
3707,Hume,0.9580308
3708,Hume,1.0
3709,Murray,0.0013825
3709,Riverina,0.001255
3709,Hume,0.9973626
3711,Hume,1.0
3712,Hume,1.0
3713,Hume,1.0
3714,Hume,1.0
3715,Hume,1.0
3717,Hume,1.0
3718,Hume,1.0
3719,Hume,1.0
3720,Hume,1.0
3722,Hume,1.0
3723,Hume,0.9999823
3725,Hume,1.0
3726,Hume,1.0
3727,Shepparton,1.0
3728,Shepparton,1.0
3730,Shepparton,0.9999764
3732,Hume,1.0
3733,Hume,1.0
3735,Hume,1.0
3737,Hume,1.0
3738,Hume,1.0
3739,Hume,1.0
3740,Hume,1.0
3741,Hume,1.0
3744,Hume,1.0
3746,Hume,1.0
3747,Hume,1.0
3749,Hume,1.0
3750,Melbourne - North East,1.0
3751,Melbourne - North East,1.0
3752,Melbourne - North East,1.0
3753,Melbourne - North East,1.0
3754,Melbourne - North East,1.0
3755,Melbourne - North East,1.0
3756,Melbourne - North East,0.944987
3756,Melbourne - North West,0.055013
3757,Melbourne - North East,1.0
3758,Melbourne - North East,1.0
3759,Melbourne - North East,1.0
3760,Melbourne - North East,1.0
3761,Melbourne - North East,1.0
3762,Melbourne - North East,0.9705815
3762,Melbourne - North West,0.0294185
3763,Melbourne - North East,1.0
3764,Hume,0.9993473
3764,Melbourne - North West,0.0006527
3765,Melbourne - Outer East,1.0
3766,Melbourne - Outer East,1.0
3767,Melbourne - Outer East,1.0
3770,Melbourne - Outer East,1.0
3775,Melbourne - North East,0.0966401
3775,Melbourne - Outer East,0.9033599
3777,Melbourne - North East,0.0544369
3777,Melbourne - Outer East,0.9455631
3778,Hume,0.9999842
3779,Hume,1.0
3781,Melbourne - South East,1.0
3782,Melbourne - Outer East,0.1114076
3782,Melbourne - South East,0.8885924
3783,Melbourne - South East,1.0
3785,Melbourne - Outer East,1.0
3786,Melbourne - Outer East,1.0
3787,Melbourne - Outer East,1.0
3788,Melbourne - Outer East,1.0
3789,Melbourne - Outer East,1.0
3791,Melbourne - Outer East,1.0
3792,Melbourne - Outer East,1.0
3793,Melbourne - Outer East,1.0
3795,Melbourne - Outer East,1.0
3796,Melbourne - Outer East,1.0
3797,Melbourne - Outer East,1.0
3799,Hume,0.0374279
3799,Melbourne - Outer East,0.9625217
3800,Melbourne - South East,1.0
3802,Melbourne - South East,1.0
3803,Melbourne - South East,1.0
3804,Melbourne - Outer East,0.0601032
3804,Melbourne - South East,0.9398968
3805,Melbourne - South East,1.0
3806,Melbourne - South East,1.0
3807,Melbourne - South East,1.0
3808,Melbourne - South East,1.0
3809,Melbourne - South East,1.0
3810,Melbourne - South East,1.0
3812,Melbourne - South East,1.0
3813,Melbourne - South East,1.0
3814,Melbourne - South East,1.0
3815,Melbourne - South East,1.0
3816,Latrobe - Gippsland,0.9508416
3816,Melbourne - South East,0.0491584
3818,Latrobe - Gippsland,1.0
3820,Latrobe - Gippsland,1.0
3821,Latrobe - Gippsland,1.0
3822,Latrobe - Gippsland,1.0
3823,Latrobe - Gippsland,1.0
3824,Latrobe - Gippsland,1.0
3825,Latrobe - Gippsland,1.0
3831,Latrobe - Gippsland,1.0
3832,Latrobe - Gippsland,1.0
3833,Latrobe - Gippsland,0.9991511
3833,Melbourne - Outer East,0.0008459
3835,Latrobe - Gippsland,1.0
3840,Latrobe - Gippsland,1.0
3842,Latrobe - Gippsland,1.0
3844,Latrobe - Gippsland,1.0
3847,Latrobe - Gippsland,1.0
3850,Latrobe - Gippsland,1.0
3851,Latrobe - Gippsland,1.0
3852,Latrobe - Gippsland,1.0
3854,Latrobe - Gippsland,1.0
3856,Latrobe - Gippsland,1.0
3857,Latrobe - Gippsland,1.0
3858,Latrobe - Gippsland,0.9999986
3859,Latrobe - Gippsland,1.0
3860,Latrobe - Gippsland,1.0
3862,Latrobe - Gippsland,0.9999986
3864,Latrobe - Gippsland,1.0
3865,Latrobe - Gippsland,1.0
3869,Latrobe - Gippsland,1.0
3870,Latrobe - Gippsland,1.0
3871,Latrobe - Gippsland,1.0
3873,Latrobe - Gippsland,1.0
3874,Latrobe - Gippsland,1.0
3875,Latrobe - Gippsland,1.0
3878,Latrobe - Gippsland,1.0
3880,Latrobe - Gippsland,1.0
3882,Latrobe - Gippsland,1.0
3885,Latrobe - Gippsland,1.0
3886,Latrobe - Gippsland,1.0
3887,Latrobe - Gippsland,1.0
3888,Latrobe - Gippsland,1.0
3889,Latrobe - Gippsland,1.0
